station,technology,buyout_gbp
St John's Wells Wind Farm,Onshore Wind,4941741
Skelmonae Windfarm Ltd,Onshore Wind,4911448
Harlock Hill Wind Farm,Onshore Wind,4879684
Burgar Hill Renewables 1,Onshore Wind,4863063
Milton of Fisherie Wind Turbines,Onshore Wind,4845529
Brotherton Wind Farm,Onshore Wind,4825078
Flotta Wind Farm,Onshore Wind,4806964
Brackagh Wind Farm,Onshore Wind,4760039
Dundee Merchant Wind Park Limited - A,Onshore Wind,4756031
Ballymena Wind Park Limited,Onshore Wind,4612977
Welton of Creuchies Wind Farm,Onshore Wind,4467484
Thorfinn Wind Energy Project (NM1500),Onshore Wind,4454696
Cairnmore,Onshore Wind,4430144
RHEIDOL WINDFARM,Onshore Wind,4422704
Cathkin Braes Wind Farm,Onshore Wind,4421313
"Castle Pill Farm 1 - A, C",Onshore Wind,4400740
Ramsey,Onshore Wind,4361302
Craig Wind Farm 2,Onshore Wind,4261361
Dunsland Cross Windfarm,Onshore Wind,4254381
