cfd_id,station,unit_name
AR7-DBS-012,Dogger Bank South West CfD Unit A Phase 2,Dogger Bank South West CfD Unit A Phase 2
AR7-DBS-013,Dogger Bank South West CfD Unit A Phase 3,Dogger Bank South West CfD Unit A Phase 3
AR7-DEW-600,Drumduff Extension Wind Farm,Drumduff Extension Wind Farm
AR7-DOB-011,Dogger Bank South East CfD Unit A Phase 1,Dogger Bank South East CfD Unit A Phase 1
AR7-DOB-012,Dogger Bank South East CfD Unit A Phase 2,Dogger Bank South East CfD Unit A Phase 2
AR7-DOB-013,Dogger Bank South East CfD Unit A Phase 3,Dogger Bank South East CfD Unit A Phase 3
AR7-DPB-700,Deptford Farm PV & Battery,Deptford Farm PV & Battery
AR7-DWI-600,DEWSHILL WIND FARM,DEWSHILL WIND FARM
AR7-EAB-700,Eastbourne,Eastbourne
AR7-EES-700,East End Solar Farm,East End Solar Farm
AR7-EHI-600,ENERGYFARM HYNDBURN II LTD,ENERGYFARM HYNDBURN II LTD
AR7-EHT-610,Enoch Hill 2,Enoch Hill 2
AR7-ERE-910,Erebus,Erebus
AR7-ESO-700,Eaton Socon,Eaton Socon
AR7-EUN-700,Energyfarm UK New Rides Solar LLP,Energyfarm UK New Rides Solar LLP
AR7-EUP-600,Energyfarm UK Pencarreg LLP,Energyfarm UK Pencarreg LLP
AR7-FFS-700,Field Form Solar,Field Form Solar
AR7-FIB-700,Fibden Farm,Fibden Farm
AR7-FIS-700,Firsfield Solar Farm,Firsfield Solar Farm
AR7-FLE-710,Fleet Solar Farm,Fleet Solar Farm
AR7-FLS-700,Five Lanes Solar,Five Lanes Solar
AR7-FOF-700,Foley Farms,Foley Farms
AR7-FOR-700,Fair Oaks Renewable Energy Park,Fair Oaks Renewable Energy Park
AR7-FOS-700,Ford Oaks Solar Farm,Ford Oaks Solar Farm
AR7-FOX-700,Foxwalks solar farm,Foxwalks solar farm
AR7-FPA-700,Fernishaw Farm PV and Energy Storage Facility,Fernishaw Farm PV and Energy Storage Facility
AR7-FSO-710,Fleet Solar Limited,Fleet Solar Limited
AR7-GLA-700,Glassthorpe Solar Farm,Glassthorpe Solar Farm
AR7-GLU-610,Glen Ullinish,Glen Ullinish
AR7-GLW-610,Glendye Wind Farm,Glendye Wind Farm
AR7-GRA-700,Grantham,Grantham
AR7-GRP-700,Grange Farm Palgrave,Grange Farm Palgrave
AR7-GSP-700,Garendon Solar Plant,Garendon Solar Plant
AR7-GUE-700,Guisborough Estate,Guisborough Estate
AR7-GWL-700,GWL25,GWL25
AR7-GWS-700,Gabrielspring Wood Solar Park,Gabrielspring Wood Solar Park
AR7-GWT-600,Golticlay Wind Farm 2,Golticlay Wind Farm 2
AR7-HAA-700,Hale Farm,Hale Farm
AR7-HAG-700,HANNINGFIELD GREEN LIMITED,HANNINGFIELD GREEN LIMITED
AR7-HAL-700,Hampton Lodge Solar Farm,Hampton Lodge Solar Farm
AR7-HAS-700,Hatherton Solar Farm,Hatherton Solar Farm
AR7-HEG-700,Hebden Green,Hebden Green
AR7-HFT-700,HF25,HF25
AR7-HGS-700,HGPV Solar,HGPV Solar
AR7-HIC-610,High Constellation Wind Farm,High Constellation Wind Farm
AR7-HIG-700,Highfield,Highfield
AR7-HLE-700,Holly Lane Energy Park,Holly Lane Energy Park
AR7-HMS-700,Hett Moor Solar Farm,Hett Moor Solar Farm
AR7-HON-700,Honeyhall,Honeyhall
AR7-HOW-610,HOPSRIG WIND FARM LIMITED,HOPSRIG WIND FARM LIMITED
AR7-HSN-700,Highgate Solar Farm Normanby By Spital,Highgate Solar Farm Normanby By Spital
AR7-HWT-700,HW25,HW25
AR7-IMW-600,Imerys Wind Farm,Imerys Wind Farm
AR7-KEI-700,Keithick,Keithick
AR7-KIS-700,Kitland Solar Farm,Kitland Solar Farm
AR7-LAA-700,Lains Farm Solar Limited,Lains Farm Solar Limited
AR7-LAL-700,Langer Lane,Langer Lane
AR7-LEE-610,Lethans Extension Wind Farm,Lethans Extension Wind Farm
AR7-LER-700,Leaps Rigg,Leaps Rigg
AR7-LHI-700,Lodge Hill Solar Park,Lodge Hill Solar Park
AR7-LHS-700,Lark Hill Solar Farm,Lark Hill Solar Farm
AR7-LID-700,Little Drum,Little Drum
AR7-LIH-710,Little Hale,Little Hale
AR7-LIM-700,Limebury,Limebury
AR7-LOA-700,Lower Farm Solar Farm,Lower Farm Solar Farm
AR7-LOB-700,Longhedge Solar Farm,Longhedge Solar Farm
AR7-LOF-700,Loch Fergus Solar Farm,Loch Fergus Solar Farm
AR7-LOW-610,Loganhead Wind Farm,Loganhead Wind Farm
AR7-LTL-700,LOWER TEAN LEYS SOLAR FARM LIMITED,LOWER TEAN LEYS SOLAR FARM LIMITED
AR7-MAL-700,Marsh Lane Solar Farm,Marsh Lane Solar Farm
AR7-MAN-700,Manor Farm Solar Farm,Manor Farm Solar Farm
AR7-MBS-700,Moreton Brook Solar Farm,Moreton Brook Solar Farm
